Month,Soybean Oil Price (US Dollars per Metric Ton),Coconut Oil Price (US Dollars per Metric Ton),"Olive Oil, extra virgin Price (US Dollars per Metric Ton)",Sunflower oil Price (US Dollars per Metric Ton),Rapeseed Oil Price (US Dollars per Metric Ton),Crude Oil (petroleum) Price (US Dollars per Barrel),Exchange Rate,Palm oil Price (US Dollars per Metric Ton)
Sep-95,614,677,4749.52,663.12,658.822,16.82,2.5124,586
Oct-95,638,718,4973.13,689.04,684.574,16.12,2.5324,615
Nov-95,623,750,5082.29,672.84,668.479,16.74,2.538938,607
Dec-95,579,718,5002.53,625.32,621.267,17.87,2.539875,590
Jan-96,554,711,5509.12,598.32,594.442,17.8,2.55629,535
Feb-96,548,738,6067.63,591.84,588.004,17.7,2.548705,518
Mar-96,538,723,6032.36,581.04,577.274,19.4,2.541748,519
Apr-96,582,756,5909.79,628.56,624.486,20.66,2.511327,562
May-96,591,778,5906.63,638.28,634.143,19.06,2.493636,552
Jun-96,563,816,6014.78,608.04,604.099,18.51,2.496695,508
Jul-96,549,775,5903.83,592.92,589.077,19.59,2.491514,476
Aug-96,565,742,5811.23,610.2,606.245,20.44,2.493277,513
Sep-96,569,721,5925.11,614.52,610.537,22.26,2.50092,545
Oct-96,528,722,6023.87,570.24,566.544,23.61,2.507382,532
Nov-96,517,760,6235.91,558.36,554.741,22.39,2.5234,550
Dec-96,514,777,6241.91,555.12,551.522,23.62,2.525052,561
Jan-97,534,768,6225.94,576.72,572.982,23.23,2.489962,567
Feb-97,527,768,5202.66,569.16,565.471,20.42,2.486568,580
Mar-97,541,737,4815.96,584.28,580.493,19.33,2.477276,559
Apr-97,541,710,4235.24,584.28,580.493,17.88,2.502814,562
May-97,541,654,4246.53,584.28,580.493,19.37,2.507,553
Jun-97,550,637,3452.36,594,590.15,17.92,2.516676,533
Jul-97,535,597,3760.36,577.8,574.055,18.33,2.581495,498
Aug-97,544,567,3607.56,587.52,583.712,18.7,2.758857,504
Sep-97,555,615,3839.11,599.4,595.515,18.66,3.025429,525
Oct-97,611,627,3914.95,659.88,655.603,20.04,3.297227,547
Nov-97,676,616,3881.83,730.08,725.348,19.09,3.379111,556
Dec-97,622,586,3655.3,671.76,667.406,17.09,3.790705,566
Jan-98,625,558,3475.1,675,670.625,15,4.409305,621
Feb-98,634,559,3164,684.72,680.282,14.1,3.814842,659
Mar-98,652,578,3106.16,704.16,699.596,13.12,3.745568,671
Apr-98,662,618,3093.11,714.96,710.326,13.5,3.737614,688
May-98,671,723,3160.63,724.68,719.983,14.03,3.8204,705
Jun-98,629,652,3184.11,679.32,674.917,12.48,4.000586,633
Jul-98,612,667,3172.03,660.96,656.676,12.7,4.159078,661
Aug-98,592,667,3148.39,639.36,635.216,12.49,4.2036,674
Sep-98,615,652,3293.41,664.2,659.895,13.8,3.805024,703
Oct-98,614,695,3346.8,663.12,658.822,13.26,3.8,694
Nov-98,614,752,3281.72,663.12,658.822,11.88,3.8,681
Dec-98,591,774,3299.12,638.28,634.143,10.41,3.801368,663
Jan-99,546,763,3260.92,589.68,585.858,11.44,3.799975,632
Feb-99,487,745,3216.03,525.96,522.551,10.75,3.799745,561
Mar-99,444,700,3767.08,479.52,476.412,13.17,3.8,497
Apr-99,442,827,3824.25,477.36,474.266,15.87,3.8,509
May-99,428,874,3876.89,462.24,459.244,16.06,3.79999,475
Jun-99,410,796,3829.73,442.8,439.93,16.39,3.8,392
Jul-99,392,656,3658.97,423.36,420.616,18.99,3.799829,319
Aug-99,413,684,3736.3,446.04,443.149,20.27,3.799995,354
Sep-99,414,704,3773.36,447.12,444.222,22.7,3.8,388
Oct-99,401,690,3852.53,433.08,430.273,21.95,3.8,381
Nov-99,382,703,3709.49,412.56,409.886,24.16,3.799976,370
Dec-99,369,703,3299.71,398.52,395.937,25.1,3.8,354
Jan-00,371,654,3553.8,400.68,398.083,25.31,3.799945,348
Feb-00,357,591,3488.13,385.56,383.061,27.22,3.799976,332
